InstanceType,vCPUs,MemoryGiB,Storage,BaseClockSpeedGhz,Region
r5n.2xlarge,8,64.0,N/A,3.1,ap-northeast-2
c7g.medium,1,2.0,N/A,2.6,ap-northeast-2
r5b.xlarge,4,32.0,N/A,3.1,ap-northeast-2
r7i.xlarge,4,32.0,N/A,3.2,ap-northeast-2
m6g.16xlarge,64,256.0,N/A,2.5,ap-northeast-2
r7i.large,2,16.0,N/A,3.2,ap-northeast-2
g4dn.xlarge,4,16.0,125,2.5,ap-northeast-2
r5a.8xlarge,32,256.0,N/A,2.5,ap-northeast-2
r5n.8xlarge,32,256.0,N/A,3.1,ap-northeast-2
g5.xlarge,4,16.0,250,3.3,ap-northeast-2
r7g.large,2,16.0,N/A,2.6,ap-northeast-2
r5a.24xlarge,96,768.0,N/A,2.5,ap-northeast-2
r5.xlarge,4,32.0,N/A,3.1,ap-northeast-2
m5.2xlarge,8,32.0,N/A,3.1,ap-northeast-2
m5a.large,2,8.0,N/A,2.5,ap-northeast-2
r4.large,2,15.25,N/A,2.3,ap-northeast-2
t3a.large,2,8.0,N/A,2.2,ap-northeast-2
c5d.xlarge,4,8.0,100,3.4,ap-northeast-2
c6in.32xlarge,128,256.0,N/A,3.5,ap-northeast-2
m6i.xlarge,4,16.0,N/A,3.5,ap-northeast-2
c5.2xlarge,8,16.0,N/A,3.4,ap-northeast-2
m7i-flex.8xlarge,32,128.0,N/A,3.2,ap-northeast-2
i3.16xlarge,64,488.0,15200,2.3,ap-northeast-2
c6in.4xlarge,16,32.0,N/A,3.5,ap-northeast-2
i3en.xlarge,4,32.0,2500,3.1,ap-northeast-2
r6i.metal,128,1024.0,N/A,3.5,ap-northeast-2
i3en.large,2,16.0,1250,3.1,ap-northeast-2
z1d.6xlarge,24,192.0,900,4.0,ap-northeast-2
c6g.medium,1,2.0,N/A,2.5,ap-northeast-2
inf1.24xlarge,96,192.0,N/A,2.5,ap-northeast-2
m4.10xlarge,40,160.0,N/A,2.4,ap-northeast-2
m5ad.16xlarge,64,256.0,2400,2.5,ap-northeast-2
m5zn.xlarge,4,16.0,N/A,4.5,ap-northeast-2
r5.2xlarge,8,64.0,N/A,3.1,ap-northeast-2
c7i.12xlarge,48,96.0,N/A,3.2,ap-northeast-2
r7i.24xlarge,96,768.0,N/A,3.2,ap-northeast-2
c6gn.8xlarge,32,64.0,N/A,2.5,ap-northeast-2
c7i.4xlarge,16,32.0,N/A,3.2,ap-northeast-2
m6g.12xlarge,48,192.0,N/A,2.5,ap-northeast-2
z1d.metal,48,384.0,1800,4.0,ap-northeast-2
c6id.metal,128,256.0,7600,3.5,ap-northeast-2
r5d.8xlarge,32,256.0,1200,3.1,ap-northeast-2
r5d.metal,96,768.0,3600,3.1,ap-northeast-2
t2.medium,2,4.0,N/A,2.3,ap-northeast-2
r5ad.16xlarge,64,512.0,2400,2.5,ap-northeast-2
m5d.2xlarge,8,32.0,300,3.1,ap-northeast-2
r5n.xlarge,4,32.0,N/A,3.1,ap-northeast-2
m4.2xlarge,8,32.0,N/A,2.4,ap-northeast-2
t2.xlarge,4,16.0,N/A,2.3,ap-northeast-2
c6gn.large,2,4.0,N/A,2.5,ap-northeast-2
r5ad.4xlarge,16,128.0,600,2.2,ap-northeast-2
g4dn.16xlarge,64,256.0,900,2.5,ap-northeast-2
x1e.16xlarge,64,1952.0,1920,2.3,ap-northeast-2
i2.8xlarge,32,244.0,6400,2.5,ap-northeast-2
m5.large,2,8.0,N/A,3.1,ap-northeast-2
m7g.2xlarge,8,32.0,N/A,2.6,ap-northeast-2
r6id.8xlarge,32,256.0,1900,3.5,ap-northeast-2
c5n.metal,72,192.0,N/A,3.4,ap-northeast-2
m7g.medium,1,4.0,N/A,2.6,ap-northeast-2
r5dn.12xlarge,48,384.0,1800,3.1,ap-northeast-2
r6gd.16xlarge,64,512.0,3800,2.5,ap-northeast-2
r6gd.8xlarge,32,256.0,1900,2.5,ap-northeast-2
r6g.xlarge,4,32.0,N/A,2.5,ap-northeast-2
r6id.large,2,16.0,118,3.5,ap-northeast-2
p3.16xlarge,64,488.0,N/A,2.7,ap-northeast-2
r5dn.16xlarge,64,512.0,2400,3.1,ap-northeast-2
z1d.large,2,16.0,75,4.0,ap-northeast-2
m6gd.8xlarge,32,128.0,1900,2.5,ap-northeast-2
i3en.2xlarge,8,64.0,5000,3.1,ap-northeast-2
i4i.12xlarge,48,384.0,11250,3.5,ap-northeast-2
r4.8xlarge,32,244.0,N/A,2.3,ap-northeast-2
c5.large,2,4.0,N/A,3.4,ap-northeast-2
i2.4xlarge,16,122.0,3200,2.5,ap-northeast-2
m7i.xlarge,4,16.0,N/A,3.2,ap-northeast-2
r5ad.xlarge,4,32.0,150,2.2,ap-northeast-2
c7g.metal,64,128.0,N/A,2.6,ap-northeast-2
m5d.12xlarge,48,192.0,1800,3.1,ap-northeast-2
x1e.xlarge,4,122.0,120,2.3,ap-northeast-2
c7g.large,2,4.0,N/A,2.6,ap-northeast-2
r6i.12xlarge,48,384.0,N/A,3.5,ap-northeast-2
c6g.4xlarge,16,32.0,N/A,2.5,ap-northeast-2
r6id.metal,128,1024.0,7600,3.5,ap-northeast-2
c5d.metal,96,192.0,3600,3.6,ap-northeast-2
m5ad.xlarge,4,16.0,150,2.2,ap-northeast-2
m5.16xlarge,64,256.0,N/A,3.1,ap-northeast-2
c6i.metal,128,256.0,N/A,3.5,ap-northeast-2
z1d.12xlarge,48,384.0,1800,4.0,ap-northeast-2
x2iedn.16xlarge,64,2048.0,1900,3.5,ap-northeast-2
c7g.12xlarge,48,96.0,N/A,2.6,ap-northeast-2
c5a.8xlarge,32,64.0,N/A,3.3,ap-northeast-2
c6id.12xlarge,48,96.0,2850,3.5,ap-northeast-2
i3.8xlarge,32,244.0,7600,2.3,ap-northeast-2
r5.12xlarge,48,384.0,N/A,3.1,ap-northeast-2
x2idn.32xlarge,128,2048.0,3800,3.5,ap-northeast-2
r5b.16xlarge,64,512.0,N/A,3.1,ap-northeast-2
r5dn.2xlarge,8,64.0,300,3.1,ap-northeast-2
m7g.metal,64,256.0,N/A,2.6,ap-northeast-2
c6gn.2xlarge,8,16.0,N/A,2.5,ap-northeast-2
m6id.4xlarge,16,64.0,950,3.5,ap-northeast-2
i3.large,2,15.25,475,2.3,ap-northeast-2
d2.4xlarge,16,122.0,24576,2.4,ap-northeast-2
m7i.large,2,8.0,N/A,3.2,ap-northeast-2
